Nucleo,dis_bomberos_drive_08:30,dis_bomberos_drive_11:00,dis_bomberos_transit_08:30,dis_bomberos_transit_11:00,dis_csmental_drive_08:30,dis_csmental_drive_11:00,dis_csmental_transit_08:30,dis_csmental_transit_11:00,dis_hospt2_1_drive_08:30,dis_hospt2_1_drive_11:00,dis_hospt2_1_transit_08:30,dis_hospt2_1_transit_11:00,dis_hospt2_2_drive_08:30,dis_hospt2_2_drive_11:00,dis_hospt2_2_transit_08:30,dis_hospt2_2_transit_11:00,dis_hospt2_3_drive_08:30,dis_hospt2_3_drive_11:00,dis_hospt2_3_transit_08:30,dis_hospt2_3_transit_11:00,dis_hospt2_4_drive_08:30,dis_hospt2_4_drive_11:00,dis_hospt2_4_transit_08:30,dis_hospt2_4_transit_11:00,dis_hospt3_1_drive_08:30,dis_hospt3_1_drive_11:00,dis_hospt3_1_transit_08:30,dis_hospt3_1_transit_11:00,dis_hospt3_2_drive_08:30,dis_hospt3_2_drive_11:00,dis_hospt3_2_transit_08:30,dis_hospt3_2_transit_11:00,dis_hospt3_3_drive_08:30,dis_hospt3_3_drive_11:00,dis_hospt3_3_transit_08:30,dis_hospt3_3_transit_11:00,dis_juzgados_drive_08:30,dis_juzgados_drive_11:00,dis_juzgados_transit_08:30,dis_juzgados_transit_11:00,dur_bomberos_drive_08:30,dur_bomberos_drive_11:00,dur_bomberos_transit_08:30,dur_bomberos_transit_11:00,dur_csmental_drive_08:30,dur_csmental_drive_11:00,dur_csmental_transit_08:30,dur_csmental_transit_11:00,dur_hospt2_1_drive_08:30,dur_hospt2_1_drive_11:00,dur_hospt2_1_transit_08:30,dur_hospt2_1_transit_11:00,dur_hospt2_2_drive_08:30,dur_hospt2_2_drive_11:00,dur_hospt2_2_transit_08:30,dur_hospt2_2_transit_11:00,dur_hospt2_3_drive_08:30,dur_hospt2_3_drive_11:00,dur_hospt2_3_transit_08:30,dur_hospt2_3_transit_11:00,dur_hospt2_4_drive_08:30,dur_hospt2_4_drive_11:00,dur_hospt2_4_transit_08:30,dur_hospt2_4_transit_11:00,dur_hospt3_1_drive_08:30,dur_hospt3_1_drive_11:00,dur_hospt3_1_transit_08:30,dur_hospt3_1_transit_11:00,dur_hospt3_2_drive_08:30,dur_hospt3_2_drive_11:00,dur_hospt3_2_transit_08:30,dur_hospt3_2_transit_11:00,dur_hospt3_3_drive_08:30,dur_hospt3_3_drive_11:00,dur_hospt3_3_transit_08:30,dur_hospt3_3_transit_11:00,dur_juzgados_drive_08:30,dur_juzgados_drive_11:00,dur_juzgados_transit_08:30,dur_juzgados_transit_11:00,mean_dis_all,mean_dis_bomberos,mean_dis_csmental,mean_dis_hospt2,mean_dis_hospt3,mean_dis_juzgados,mean_dur_all,mean_dur_bomberos,mean_dur_csmental,mean_dur_hospt2,mean_dur_hospt3,mean_dur_juzgados,POB,weigh_mean_dis_all,weigh_mean_dis_bomberos,weigh_mean_dis_csmental,weigh_mean_dis_hospt2,weigh_mean_dis_hospt3,weigh_mean_dis_juzgados,weigh_mean_dur_all,weigh_mean_dur_bomberos,weigh_mean_dur_csmental,weigh_mean_dur_hospt2,weigh_mean_dur_hospt3,weigh_mean_dur_juzgados
0790101,1633,1633,1827,1652,1582,1582,1293,1293,14163,14163,12782,12782,,,,,,,,,,,,,1929,1929,2174,2213,8244,8244,7175,7175,,,,,1043,1043,1242,825,403,455,1052,1166,402,458,712,700,1467,1489,3163,3223,,,,,,,,,,,,,464,476,1063,1317,793,835,2281,2341,,,,,253,281,702,754,4503.975,1686.25,1437.5,13472.5,4885.375,1038.25,1073.25,769.0,568.0,2335.5,1196.25,497.5,3422416,15414476103.6,5771048980.0,4919723000.0,46108499560.0,16719785566.0,3553323412.0,3673107972.0,2631837904.0,1943932288.0,7993052568.0,4094065140.0,1702651960.0
0650601,8882,8882,15474,15474,9017,9017,14381,16840,17429,17429,31413,28730,,,,,,,,,,,,,29482,20222,27191,27452,11309,13468,17105,19104,,,,,12584,12584,12190,12975,681,673,4022,4142,683,666,4888,5335,1478,1383,6484,6484,,,,,,,,,,,,,1807,1367,7179,6731,881,786,5206,5348,,,,,737,690,3706,4072,16298.375,12178.0,12313.75,23750.25,20666.625,12583.25,3038.825,2379.5,2893.0,3957.25,3663.125,2301.25,15,244475.625,182670.0,184706.25,356253.75,309999.375,188748.75,45582.375,35692.5,43395.0,59358.75,54946.875,34518.75
0650901,8445,8445,11837,11837,5984,5984,5696,5696,14397,14772,15060,26331,,,,,,,,,,,,,16125,16125,17866,22656,9370,9370,8419,8419,,,,,6257,6257,6368,10399,917,905,3590,3770,686,661,2155,2244,1477,1359,4274,5212,,,,,,,,,,,,,1917,1316,4373,5396,881,727,2405,2562,,,,,620,606,2399,3445,10897.0,10141.0,5840.0,17640.0,13543.75,7320.25,2205.425,2295.5,1436.5,3080.5,2447.125,1767.5,260,2833220.0,2636660.0,1518400.0,4586400.0,3521375.0,1903265.0,573410.5,596830.0,373490.0,800930.0,636252.5,459550.0
0650401,10904,10904,17875,17875,11288,9159,8605,8605,13942,13942,19587,19587,,,,,,,,,,,,,24470,15295,20638,20638,8541,8541,11191,11191,,,,,9098,9098,10984,10984,933,988,3604,3844,981,865,2312,2312,1502,1368,4322,4502,,,,,,,,,,,,,1723,1316,4415,4595,820,733,2604,2544,,,,,716,682,2955,2955,13134.475,14389.5,9414.25,16764.5,15063.125,10041.0,2210.8,2342.25,1617.5,2923.5,2343.75,1827.0,134,1760019.6500000001,1928193.0,1261509.5,2246443.0,2018458.75,1345494.0,296247.2,313861.5,216745.0,391749.0,314062.5,244818.0
0650402,11161,11161,17620,17620,8904,8904,8350,8350,13687,13687,19332,19332,,,,,,,,,,,,,24214,15039,20383,20383,8285,8285,10936,10936,,,,,8842,8842,10729,10729,961,1019,3401,3641,875,834,2109,2109,1452,1332,4119,4299,,,,,,,,,,,,,1684,1293,4212,4392,785,704,2401,2341,,,,,682,647,2752,2752,12824.025,14390.5,8627.0,16509.5,14807.625,9785.5,2094.5,2255.5,1481.75,2800.5,2226.5,1708.25,8836,113313084.89999999,127154458.0,76228172.0,145877942.0,130840174.5,86464678.0,18507002.0,19929598.0,13092743.0,24745218.0,19673354.0,15094097.0
0650403,11367,11367,19157,19157,11751,11751,9887,9887,14982,14982,20869,20869,,,,,,,,,,,,,25509,16334,21920,21920,9580,9580,12473,12473,,,,,10137,10137,12265,12265,1001,1061,3704,3943,1042,1121,2325,2325,1610,1492,4335,4515,,,,,,,,,,,,,1835,1442,4428,4608,931,855,2617,2557,,,,,837,811,2968,2968,14286.225,15262.0,10819.0,17925.5,16223.625,11201.0,2284.725,2427.25,1703.25,2988.0,2409.125,1896.0,970,13857638.25,14804140.0,10494430.0,17387735.0,15736916.25,10864970.0,2216183.25,2354432.5,1652152.5,2898360.0,2336851.25,1839120.0
1250201,21026,21026,83095,21315,15242,15242,77447,20355,41299,41299,32882,37860,,,,,,,,,,,,,62064,62064,61698,61749,61981,61981,61855,61906,48901,48901,53138,53401,16367,16367,17131,18365,1627,1667,7199,4186,1262,1299,6589,3981,2846,2923,3817,4817,,,,,,,,,,,,,3922,3680,4420,4721,3952,3692,4575,4876,2933,2906,4853,5527,1178,1198,2796,3560,36476.55,36615.5,32071.5,38335.0,58303.25,17057.5,3381.5333333333338,3669.75,3282.75,3600.75,4171.416666666667,2183.0,4697,171330355.35000002,171983003.5,150639835.5,180059495.0,273850365.25,80119077.5,15883062.066666668,17236815.75,15419076.75,16912722.75,19593144.083333336,10253551.0
0440101,16573,16573,24567,19754,14893,14893,18072,18054,14938,14938,18118,18100,,,,,,,,,,,,,37708,37708,37578,35502,37625,37625,37735,35659,29055,29055,27851,25004,14209,14209,15091,15091,1332,1326,3607,4311,1620,1602,3185,3575,1637,1623,3223,3613,,,,,,,,,,,,,2688,2279,3884,3985,2676,2320,4039,4140,1770,1664,4856,3780,1079,1041,2402,3302,20205.4,19366.75,16478.0,16523.5,34008.75,14650.0,2558.583333333333,2644.0,2495.5,2524.0,3173.4166666666665,1956.0,9648,194941699.20000002,186850404.0,158979744.0,159418728.0,328116420.0,141343200.0,24685211.999999996,25509312.0,24076584.0,24351552.0,30617124.0,18871488.0
0870102,18260,18260,15566,15359,12975,12975,15156,25024,13021,13021,15202,25070,,,,,,,,,,,,,52266,52266,50920,50481,52183,52183,51091,50652,43383,43383,46671,74695,8959,8959,34176,36021,1270,1275,1853,1586,1177,1216,2060,3521,1195,1229,2098,3559,,,,,,,,,,,,,2999,2608,3767,3790,2977,2661,3925,3948,2347,2276,6609,6536,773,790,4301,4767,24736.43333333333,16861.25,16532.5,16578.5,51681.166666666664,22028.75,2374.2166666666667,1496.0,1993.5,2020.25,3703.5833333333335,2657.75,4812,119031717.19999999,81136335.0,79554390.0,79775742.0,248689774.0,106002345.0,11424730.6,7198752.0,9592722.0,9721443.0,17821643.0,12789093.0
0380201,21416,21608,18250,18440,17452,17452,18030,21300,17498,17498,18076,21346,,,,,,,,,,,,,55613,55613,53607,53563,55531,55531,53778,53734,46731,46731,49124,49546,8424,8424,38913,39103,1468,1572,2723,2403,1368,1417,2700,3712,1384,1431,2738,3750,,,,,,,,,,,,,3240,2902,4533,5217,3235,2941,4691,5375,2599,2585,6775,6259,796,835,5510,5894,26646.533333333333,19928.5,18558.5,18604.5,52425.166666666664,23716.0,2824.25,2041.5,2299.25,2325.75,4196.0,3258.75,7196,191748453.86666667,143405486.0,133546966.0,133877982.0,377251499.3333333,170660336.0,20323303.0,14690634.0,16545403.0,16736097.0,30194416.0,23449965.0
